id,text,tags,correct
1258285028213010432,🚨🚨Breaking News 🚨🚨Official announcement Teaser releasing tomorrow ❤️❤️💃💃💃💃💃💃💃💃💃💃💃Singer @jassiegillFt @ishehnaaz_gill https://t.co/iUAUa1Z4gz,,y
1257921358085775360,Breaking news - number of washing utensils has crossed 1K mark...to control this number govenment (me) has decided to follow very strict lockdown by using less utensils. This has been informed to all parties but looks like they just had a good laugh!!!😭🤣🤣,,y
1258300582437236736,Breaking newsChannel:- @Aak_Thu Journalist:-@fake_patrakar Others:-@Gu_DarshanNews @BndNewz @HindiFaking https://t.co/p372KDucYi,,n
1258314280274989056,"Testing Kits in Africa Deemed Faulty After COVID-19 Confirmed in Goat, Quail, Pawpaw Fruit https://t.co/6dm2HVXviO via #TruthConquersAll #USA #Canada #Europe #UK #Austrailia #health #hospitals nurses #NYC #Coronavirus #Covid19 #News",TruthConquersAll USA Canada Europe UK Austrailia health hospitals NYC Coronavirus Covid19 News,n
1258217807780683778,Schiff in panic modeBREAKING: Russia probe transcripts affirm officials came up empty on collusion #ReleaseTheTranscripts  https://t.co/9WZkFKDx8f,,y
1258315585462640651,"BAME groups ‘two to three times more likely to die from coronavirus’, finds latest research by Dr @rob_aldridge, member of the @UCLHealthPublic working group. #covid19 #unisupport📰Read more on the ITV News website:  https://t.co/JVWb50FYvo",covid19 unisupport,y
1258306498611953664,"Naomi Campbell, 49, Shot Her Own ‘Essence’ Magazine Cover At Home — See Pic - https://t.co/xujMaTWdaG#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/2QmNW2OfKd",breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,y
1258306699967909888,Fauci Knew since 2005 that the Malaria Drug Can even Cure Coronaviruses &amp; Conflicts of Interest Abound - https://t.co/7qL80FQdjP#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/N6X9JdWX5t,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,y
1258308692602224641,"@gulf_intel #US President Donald #Trump has promised relief to the ailing #oil and #gas sector, and it's not yet clear if the recently expanded Federal Reserve lending program is the full extent of that aid. #latestnews #COVID19 #oilandgas #pandemic",US Trump oil gas latestnews COVID19 oilandgas pandemic,y
1258208236714496000,🔸️RUSSIA HOAX MARCHING ORDERS🔹️#Russia #WitchHunt #BreakingNews #Breaking #RussiaHoax #DOJ #FBI #Corruption #Trump #Trump2020https://t.co/dDjTauFgNN,Russia WitchHunt BreakingNews Breaking RussiaHoax DOJ FBI Corruption Trump,n
1258294931875078146,"#BreakingNews : Members of #European Parliament have called on European Commission to take ""Strong Action"" against #Pakistan for brutal killings of #Pashtun leader #ArifWazir and Journalist #SajidHussain. https://t.co/DaNOv22rC6",BreakingNews European,y
1258310561663578113,"Allow salary cuts of employees: Industrial bodies write to Gujarat govt | Cities News,The Indian Express https://t.co/zRecdwbYlt",,n
1258310496803061760,Heart breaking news !! Hope the government is doing its best to contain the situation. Just when we thought things couldn’t get worse this happens. My prayers to all the people of Vizag. God help them all 🙏🏻 #VizagGasLeak #Visakhapatnam,VizagGasLeak Visakhapatnam,n
1258007246690234368,"Breaking news: former captive Beluga whales, Little White and Little Grey, will return home to the ocean this June 💙 #EndCaptivity Get the full update here &gt; https://t.co/cHwHA3FeG9 https://t.co/t9RORXqFS9",,y
1258272005805289482,BREAKING NEWS: New Zealand teams have been given the green light to resume Vodacom Super Rugby with a restructured 10-week competition in the near future.https://t.co/1OdsxpyUhA,,y
1258308506811355136,"BREAKING NEWS. The Department of Health (DOH) recorded 339 new coronavirus cases Thursday, May 7. Total cases now at 10,343. #COVID19PH | via @reyaika https://t.co/aTVPXJlzvR",,y
1258055771759218688,"Breaking News: The Gov't officially flags off the Great Trek from Eastleigh to South C, in an attempt to encourage High School students to witness an example of Urban-Urban Migration.",,y
1258309980182188038,"#Breaking #News EXCLUSIVE: Transcripts clear Trump campaign on Russia collusion, may raise questions about Schiff, sources say https://t.co/kE1L7E1jkm via #FoxNews #National",Breaking News,y
1258155876528951298,"Let this breaking news by @kyledcheney settle in. The Obama administration was spying on me for my commercial energy work in Israel, Cyprus and Egypt and, in the process, exposed that they used foreign governments like Italy, U.K. Australia to do so. This is going to get good!",,y
1258291344008568833,"Surprise?! Coronavirus live updates Australia: Barilaro won't be fined for visit to country house, NSW police say – latest news https://t.co/sinvqAd4b2",,y
1258301547743784961,Gov. Abbott calls for the release of woman who reopened salon despite state's COVID orders https://t.co/FxgBHWQ1JH (via ABC) #news #Trending #trendingnews,news Trending trendingnews,n
1258301654878879744,#Banksy tribute to UK health service displayed in #hospital https://t.co/RIBzELenRe #newsupdate #artsandcrafts,Banksy hospital newsupdate artsandcrafts,n
1258302084895531008,Huawei Y9S Specs teased in Amazon; Launching Soon !Details here...#Huawei #HUAWEIY7p #HUAWEIY9s#technews #latestnews #indianews #smartphones #tech #Huawei #HuaweiOriginals  #AmazonIndia https://t.co/RcoblIlMXF,Huawei HUAWEIY7p HUAWEIY9s technews latestnews indianews smartphones tech Huawei HuaweiOriginals AmazonIndia,n
1258305456403107840,#BREAKINGNEWS - Hidden #Mayan Road Network Uncovered in #Yucatan #Rainfores... https://t.co/Gm9FiWeVPx,BREAKINGNEWS Mayan Yucatan Rainfores,n
1258305493186998274,"BREAKING NEWS: ABS-CBN asks Supreme Court for a Temporary Restraining Order (TRO) to stop the implementation of NTC’s May 5 cease and desist order against the media network.(Sources: Rappler, ABS-CBN News)#BreakingNews #NoToABSCBNShutdown https://t.co/AXtd5ZZcyz",BreakingNews NoToABSCBNShutdown,y
1258305502779506688,Heart breaking news !! Hope the government is doing its best to contain the situation. Just when we thought things couldn’t get worse this happens. My prayers to all the the people of Vizag. God help them all 🙏 #VizagGasLeak @AndhraPradeshCM @PMOIndia,VizagGasLeak,n
1258305508743745537,"@HonOscarSudi @RailaOdinga Haaaaaa, if you bump into Baba, it becomes breaking news!!! ...you found him very accommodating and mature..",,n
1258304102439596034,"OPCW Head FALSELY Described Syria Whistleblower Inspectors To Discredit Them, New Documents Show: https://t.co/biK2P6Gy99 #Trump #USA #America #Iran #Russia #Europe #UNSC #DeepState #Israel #MAGA #Propaganda #Iraq #Syria #SyriaStrikes #Whistleblower #OPCW #Breaking #News",Trump USA America Iran Russia Europe UNSC DeepState Israel MAGA Propaganda Iraq Syria SyriaStrikes Whistleblower OPCW Breaking News,y
1258301010495377413,"BREAKING : A first-draft script for a new, fictional mini- series...""Corbyn : Man, Myth, Legend""...to be aired on Russia's equivalent of DAVE, has been leaked. Sounds like gripping stuff. https://t.co/LE0pJBFRUV",,n
1258299028552314880,Labor market restructuring and its possible permanence - https://t.co/npJOaUvrrf#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/CjKvRTEoGy,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,y
1258299267912839169,"Bank of England holds interest rates, expects UK GDP to fall by 14% this year - https://t.co/XZX6yAoT6h#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/YvrmmL3ijd",breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,y
1258152853455155203,Wednesday News Recap: 256 Nigerians From Dubai Arrive In LagosOur #TwoMinutes gives you a rundown of the most important news for the day. Don't forget to subscribe: https://t.co/hPPplqvWyX#latestnews #newsupdate #ChannelsTV #CTVTwominutes https://t.co/QaeiwO2qR9,TwoMinutes,y
1258300175220535298,Anyone bored out there? Have some time to spare? Watch this video to gain some top 10 knowledge!!TOP 10 MOST SAVAGE TRASH TALKERS IN ANIMELink below 👇👇https://t.co/G0TBulF3JS#Top10 #knowledge #latestnews #Trending https://t.co/eQl7MQkgBL,Top10 knowledge latestnews Trending,n
1258300390652641280,"#BREAKING #BreakingNews #OurWorld #ThilanWRT BBCBreaking: Three people have died, with hundreds of others taken ill, after a gas leak in south India https://t.co/SMMi87eDMP",BREAKING BreakingNews OurWorld ThilanW,y
1258299560205578240,News of the day#cryptocurrency #Crypto #BreakingNews #Blockchain #Ethereum #ETH #trading #thursdayvibes https://t.co/QkhttQ6ilJ,cryptocurrency Crypto BreakingNews Blockchain Ethereum ETH trading thursdayvibes,n
1258288836058083329,?!Oh My Girl's Miracle 2nd goods featured on the Episode 41 (airs 13 May) teaser of MNET TMI News :o https://t.co/By9nEN81U6,,n
1257882121957408768,"BREAKING NEWS: Minutes after Tweeting about the President not wearing a mask, Jim Acosta is seen refusing to wear a mask or practice social distancing while in AZ.  @Acosta https://t.co/bCv5NZEEOU",,y
1258125174488150016,"BREAKING NEWS.CONGRATULATIONS TO RIVERS PEOPLE AS FEDERAL GOVERNMENT REPLACES ANOTHER TWO COVID19 TESTING MACHINES SEIZED BY GOVERNOR WIKE TO UNIVERSITY OF PORT HARCOURT TEACHING HOSPITAL.Prof. Henry Ugboma, the Performing CMD is indeed working",,y
1257901418209517571,Breaking news Due to the financial problems Surrounding a lot of football Clubs at the moment Manchester United Have had to release 25 members Of staff from their payroll The 15 referees and 10 linesman are said to be Devastated,,y
1258283091883257856,"[Breaking News] Daehwi: ""I made a mistake! Dal-i is in the dorm!!! I mixed up Dal-i with Byul-i""https://t.co/uOBl0erKXM",,n
1258127662733803525,And breaking news on this drug - Capmatinib FDA approved today in NSCLC with #MetExon14 skipping mutations!! Great news for Lung Cancer! #LCSM https://t.co/JsxjbEnl7j,MetExon14,y
1258298017968541696,"Have you joined The Quint on WhatsApp yet?For breaking news alerts, opinion pieces, fact-checked stories, videos, and more, follow this link: https://t.co/bc6VNAR6fX(PS: Don't forget to send us #TQ every time you want updates from us!) https://t.co/Bs4kb2uwJP",,n
1258295370687213569,Hot! DealShaker Debit Card Available Global #ATSocialMediaUK #DealShaker #shopping #business #sell #join #free #ATSocialMedia #bargains #WorkFromHome #affiliates #news #AsiaRisingForever #Europe #MiddleEast #China #Australia #UK #SouthAmerica #DebitCard  https://t.co/CRausJCkzr,ATSocialMediaUK DealShaker shopping business sell join free ATSocialMedia bargains WorkFromHome affiliates news AsiaRisingForever Europe MiddleEast China Australia UK SouthAmerica DebitCard,n
1258291988639748096,Women demand voice in Italy virus response dominated by men https://t.co/kDMm5kDrbd (via Seattle Times) #news #trending #TrendingNews,news trending TrendingNews,n
1258291407795585025,Thursday: Unemployment Claims - https://t.co/NWMoQINk2M#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,n
1258291529359081472,How Online Faxing Improves Your Business Communication - https://t.co/6ToPKxHifS#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/3mqoMZo4og,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,n
1258289951361417216,#Seaport Secures $500m Loanhttps://t.co/XFAptwg4wP#CityBusinessNews #CityNews #LatestNews #BusinessNews #NewsUpdate #Nigeria #WorldNews #News #Update #DailyNews #DailyPost #AllAfrica #NaijaNews #LatestNaijaNews #Shipping #Maritime https://t.co/SSyzL4qU2P,Seaport CityBusinessNews CityNews LatestNews BusinessNews NewsUpdate,n
1258295100351774720,"Dear all...Anyone staying near the Gopalapatnam Gas Polluted area can move to Vignan College, Duvvada for shelter.... College also provides food for them.*Share this to everyone.*#Latestnews #VizagGasLeak #Vizag #Vishakapatnam #gasleak",Latestnews VizagGasLeak Vizag Vishakapatnam gasleak,n
1257597653321277441,The photography staff of @Reuters has won the Pulitzer Prize for breaking news photography for its coverage of last year's violent protests in Hong Kong. More images: https://t.co/pAYehavVNT https://t.co/tJle96cx3g,,y
1258040796059766784,"BREAKING NEWS: Latest development in the #NoPubNoRent scandal, of greedy #pubcos charging their #pub tenants rent on closed #pubs: @starpubsandbars are so far discriminating against tenants with a #MarketRentOnly #MRO lease, here’s our letter to #PubsCode Adjudicator @pubscodepca https://t.co/UyisBHld5M",NoPubNoRent pubcos pub,y
1258295303112966144,Breaking News from Vishakhapatnam... https://t.co/kazycMpKow,,n
1258295311174434816,🚨 Breaking News 🚨 Two high profile managers have lost their jobs from the lower leagues. The Division 1 favourites - Manchester City have parted ways with Kevin Keegan after an average start.Whilst Reading who are in the bottom 4 in Division 2 have sacked Pardew. https://t.co/yigg4HYeLD,,y
1258295312860381184,"@sthapec4ro Yesterday here is the link VIDEO: Minister Gordhan briefs Parliament on developments at SOEs - SABC News - Breaking news, special reports, world, business, sport coverage of all South African current events. Africa's news leader. https://t.co/XT9yfbtv9B",,n
1257730653602361345,Breaking News: The White House is considering winding down the coronavirus task force as the crisis rages on. It’s not clear if it will be replaced. https://t.co/gpFtI2TsYT https://t.co/H7b9XeLDut,,y
1258294275311370242,April 2020 Legal News: Central and Eastern EuropeNewsletter von @bnt_euhttps://t.co/pggX0jlXni  #HR #executivesearch #Europe https://t.co/2QRxkG7eGj,HR executivesearch Europe,n
1258203365978394633,"Our team planning to launch new account “Poker Universe”🔹🔶🔷Everyday #giveaway tickets on poker tournaments with prizes more than $5m monthly💰 Educational content, news, promotions, best deals, bonuses and gaming experience 🧩Soon starting..@coinkit_ mon 100 1000 BTC",giveaway,n
1258289757936852992,"@UBAGroup Rewards 100 Customers With N100,000https://t.co/67EjkJWb5a#CityBusinessNews #CityNews #LatestNews #BusinessNews #NewsUpdate #Nigeria #WorldNews #News #Update #DailyNews #DailyPost #AllAfrica #NaijaNews #LatestNaijaNews #Banking https://t.co/kv6utABQlH",CityBusinessNews CityNews LatestNews BusinessNews NewsUpdate Nigeria WorldNews News Update DailyNews DailyPost AllAfrica NaijaNews LatestNaijaNews Banking,n
1258290361149075457,#LatestNews - Update - A man has been interviewed by officers following an appeal in relation to a reported assault on a staff member at the Tesco Express store in Holdenhurst Road in Bournemouth on Thursday 23 April 2020.https://t.co/wQTbaqdQSk,LatestNews,y
1258275655277371392,Chemical Gas leakage from LG Polymers industry at RR Venkatapuram in Visakhapatnam. Several casualties reported#VizagGasLeak #Vizag #VizagGasTragedy #VizagGasLeaks #BreakingNews #breaking #COVID19 #covid—19 https://t.co/1yxBxvzfVK,,y
1258144625786630145,"@Pope_Bane @phbarratt @soraya_lennie Don’t be depress, his popularity is only fake news.",,n
1258290426211192834,BBC News - Virgin Media and O2 join forces to take on BThttps://t.co/nfBJpGewYr,,n
1257737912860303360,Breaking news https://t.co/DpWTzZ1b64,,n
1258012798422056960,BREAKING NEWS.Cc @threefromleith @Scobesfoto https://t.co/INaR8CmklK,,n
1249036827991908354,"BREAKING NEWS: I have been feeling unwell the last two days - tired, headache, foggy brain. I have been concerned about COVID infection, but it was hard to imagine how: we have been so careful.  I just discovered 5 minutes ago that I HAVE BEEN MAKING DECAF COFFEE FOR 2 DAYS.",,n
1258290312998518786,#Breaking #News Georgia authorities say Ahmaud Arbery case will get full investigation; father seeks 'justice for my son' https://t.co/xz2a1RIWFv via #FoxNews #National,Breaking News FoxNews National,y
1258279396386971654,"BREAKING NEWS @DBE_SA : This is how children should be screened everyday before getting into school. We must not take chances with young lives, otherwise #noexams this year. Re #SkabaDom .#Zoomingwiththezumas #ZoomingWithZumas #StayHomeSA https://t.co/jAPElc7pEH",,n
1258290421618393088,💥💥 Breaking News 💥💥Take advantage of your offer with Namshi store 🛒 only when you use my special promo code ✅ ⚡   Use coupon 👇👇كود خصم نمشى❶ YC4     ❷ YC5   ⚡ https://t.co/qnOjaBLxgY,,n
1258284014890356737,"The good news is the @bankofengland scenario suggests the UK economy could bounce back even quicker than it fell, with 2021 GDP growth of 15%. That would be the strongest year for growth since 1704! https://t.co/gVAB0vzbwD",,y
1258283618687840257,Coronavirus was devastating Europe’s nursing homes well before the U.S. Here are the lessons they learned - https://t.co/T07KJurpxS#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/mXbtG639qo,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,n
1258283732173066241,Brett Favre Speaks Out After Agreeing to Repay $1 Million for Speeches He Never Gave - https://t.co/ki8Vo281Fc#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/9aHDG61wVQ,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,n
1258269604477952000,"Heartwrenching to hear the news of #VizagGasLeak, more so during these challenging times... Heartfelt condolences and strength to the bereaved families in this hour of need. Wishing a speedy recovery to those affected. My prayers for you... Stay safe VIZAG.",VizagGasLeak,n
